Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,12400.000000,12625.000000,12400.000000,12475.000000,11384.090820,4587700
2019-07-26,12475.000000,12800.000000,12200.000000,12400.000000,11315.649414,5413100
2019-07-29,12625.000000,12625.000000,12475.000000,12550.000000,11452.532227,4997500
2019-07-30,12650.000000,12675.000000,12550.000000,12650.000000,11543.787109,6129700
2019-07-31,12300.000000,12950.000000,12175.000000,12875.000000,11749.111328,11960200
2019-08-01,12875.000000,13100.000000,12700.000000,13050.000000,11908.808594,6026200
2019-08-02,12675.000000,13075.000000,12650.000000,12950.000000,11817.552734,11155300
2019-08-05,13000.000000,13100.000000,12000.000000,12400.000000,11315.649414,4816400
2019-08-06,12150.000000,12725.000000,11625.000000,12575.000000,11475.345703,7080100
2019-08-07,12675.000000,12850.000000,12450.000000,12725.000000,11612.228516,6458900
2019-08-08,12600.000000,12975.000000,12600.000000,12900.000000,11771.924805,6788600
2019-08-09,12850.000000,12975.000000,12725.000000,12800.000000,11680.669922,5006100
2019-08-12,12800.000000,12975.000000,12750.000000,12800.000000,11680.669922,4142100
2019-08-13,12525.000000,12650.000000,12250.000000,12400.000000,11315.649414,6099900
2019-08-14,12700.000000,12875.000000,12350.000000,12850.000000,11726.296875,3180600
2019-08-15,12525.000000,13000.000000,12425.000000,12950.000000,11817.552734,6700200
2019-08-16,13000.000000,13000.000000,12775.000000,12900.000000,11771.924805,4464700
2019-08-19,12950.000000,13275.000000,12825.000000,13250.000000,12091.319336,7836000
2019-08-20,13250.000000,13300.000000,13050.000000,13225.000000,12068.504883,9914700
2019-08-21,13100.000000,13225.000000,12850.000000,12975.000000,11840.367188,6620800
2019-08-22,13200.000000,13225.000000,12850.000000,13025.000000,11885.994141,4785900
2019-08-23,13100.000000,13125.000000,12775.000000,13075.000000,11931.622070,4350500
2019-08-26,13000.000000,13200.000000,12500.000000,12875.000000,11749.111328,7678100
2019-08-27,13100.000000,13100.000000,12850.000000,12900.000000,11771.924805,14155300
2019-08-28,12900.000000,13100.000000,12800.000000,12950.000000,11817.552734,9023100
2019-08-29,12950.000000,13200.000000,12950.000000,13100.000000,11954.436523,9418400
2019-08-30,13125.000000,13450.000000,13050.000000,13250.000000,12091.319336,13045700
2019-09-02,13225.000000,13350.000000,13100.000000,13275.000000,12114.132813,7803200
2019-09-03,13275.000000,13375.000000,13200.000000,13300.000000,12136.946289,5997500
2019-09-04,13325.000000,13475.000000,13150.000000,13350.000000,12182.574219,4269400
2019-09-05,13300.000000,13425.000000,13200.000000,13425.000000,12251.015625,6476400
2019-09-06,13500.000000,13500.000000,13425.000000,13450.000000,12273.828125,2340300
2019-09-09,13500.000000,13500.000000,13400.000000,13425.000000,12251.015625,1873300
2019-09-10,13425.000000,13450.000000,12550.000000,12850.000000,11726.296875,5421500
2019-09-11,12600.000000,12700.000000,12050.000000,12175.000000,11110.325195,9393400
2019-09-12,12350.000000,12500.000000,12025.000000,12475.000000,11384.090820,6664200
2019-09-13,12500.000000,12900.000000,12475.000000,12800.000000,11680.669922,4697900
2019-09-16,12875.000000,12900.000000,12475.000000,12900.000000,11771.924805,3329000
2019-09-17,12925.000000,12925.000000,12575.000000,12725.000000,11612.228516,3294000
2019-09-18,12725.000000,12850.000000,12400.000000,12825.000000,11703.484375,4644700
2019-09-19,12525.000000,12650.000000,12375.000000,12450.000000,11361.277344,6288300
2019-09-20,12500.000000,12850.000000,12400.000000,12850.000000,11726.296875,7806500
2019-09-23,12850.000000,12850.000000,12500.000000,12500.000000,11406.904297,3328300
2019-09-24,12500.000000,12650.000000,12125.000000,12275.000000,11201.580078,5396600
2019-09-25,12150.000000,12400.000000,11650.000000,12225.000000,11155.953125,5204600
2019-09-26,12200.000000,12500.000000,12025.000000,12250.000000,11178.765625,5678100
2019-09-27,12025.000000,12150.000000,11750.000000,11850.000000,10813.745117,5300300
2019-09-30,11850.000000,11850.000000,11425.000000,11550.000000,10539.980469,7823500
2019-10-01,11500.000000,11525.000000,11050.000000,11200.000000,10220.586914,8166900
2019-10-02,11200.000000,11300.000000,10950.000000,10950.000000,9992.449219,3027900
2019-10-03,10700.000000,11100.000000,10575.000000,10825.000000,9878.378906,8878400
2019-10-04,10825.000000,11925.000000,10825.000000,11525.000000,10517.165039,5453400
2019-10-07,11475.000000,11575.000000,11175.000000,11300.000000,10311.841797,1713600
2019-10-08,11400.000000,11550.000000,11100.000000,11450.000000,10448.724609,3099000
2019-10-09,11350.000000,11475.000000,11175.000000,11350.000000,10357.469727,3340400
2019-10-10,11425.000000,11675.000000,11425.000000,11550.000000,10539.980469,2277500
2019-10-11,11800.000000,11925.000000,11575.000000,11825.000000,10790.930664,1586100
2019-10-14,11925.000000,12100.000000,11900.000000,12100.000000,11041.883789,2783100
2019-10-15,12100.000000,12475.000000,12075.000000,12350.000000,11270.020508,5630400
2019-10-16,12350.000000,12700.000000,12350.000000,12600.000000,11498.159180,9186300
2019-10-17,12675.000000,12750.000000,12450.000000,12700.000000,11589.415039,4605900
2019-10-18,12775.000000,12800.000000,12475.000000,12500.000000,11406.904297,2934700
2019-10-21,12750.000000,12750.000000,12525.000000,12625.000000,11520.973633,1475800
2019-10-22,12500.000000,12675.000000,12325.000000,12575.000000,11475.345703,2763500
2019-10-23,12650.000000,12675.000000,12450.000000,12675.000000,11566.600586,3214600
2019-10-24,12700.000000,12750.000000,12500.000000,12700.000000,11589.415039,6461800
2019-10-25,12750.000000,12850.000000,12275.000000,12525.000000,11429.717773,3891100
2019-10-28,12575.000000,12950.000000,12500.000000,12950.000000,11817.552734,2611300
2019-10-29,12975.000000,13150.000000,12575.000000,13000.000000,11863.181641,15395500
2019-10-30,13200.000000,13450.000000,13125.000000,13325.000000,12159.760742,10017000
2019-10-31,13400.000000,13400.000000,12600.000000,12650.000000,11543.787109,9323500
2019-11-01,12600.000000,12900.000000,12425.000000,12800.000000,11680.669922,5925200
2019-11-04,12900.000000,12950.000000,12650.000000,12700.000000,11589.415039,6589500
2019-11-05,12450.000000,12700.000000,12400.000000,12475.000000,11384.090820,9083800
2019-11-06,12500.000000,12750.000000,12425.000000,12650.000000,11543.787109,9463500
2019-11-07,12750.000000,12800.000000,12650.000000,12800.000000,11680.669922,6292500
2019-11-08,12875.000000,12875.000000,12625.000000,12825.000000,11703.484375,3926300
2019-11-11,12850.000000,12850.000000,12600.000000,12700.000000,11589.415039,3126800
2019-11-12,12500.000000,12650.000000,12450.000000,12650.000000,11543.787109,3933500
2019-11-13,12600.000000,12600.000000,12475.000000,12525.000000,11429.717773,2444300
2019-11-14,12500.000000,12600.000000,12325.000000,12600.000000,11498.159180,2828200
2019-11-15,12550.000000,12750.000000,12450.000000,12750.000000,11635.042969,2664900
2019-11-18,12500.000000,12700.000000,12350.000000,12500.000000,11406.904297,3583200
2019-11-19,12400.000000,12500.000000,12300.000000,12425.000000,11338.461914,4481500
2019-11-20,12300.000000,12475.000000,12300.000000,12400.000000,11315.649414,4370600
2019-11-21,12375.000000,12525.000000,12375.000000,12450.000000,11361.277344,4218100
2019-11-22,12450.000000,12475.000000,12075.000000,12250.000000,11178.765625,3503800
2019-11-25,12250.000000,12275.000000,11600.000000,12100.000000,11041.883789,4957900
2019-11-26,12300.000000,12300.000000,11900.000000,12000.000000,10950.627930,9250300
2019-11-27,11950.000000,12175.000000,11950.000000,11975.000000,10927.814453,4882900
2019-11-28,11700.000000,12150.000000,11450.000000,11600.000000,10585.607422,10433800
2019-11-29,11500.000000,11650.000000,11300.000000,11450.000000,10448.724609,12062400
2019-12-02,11450.000000,11850.000000,11375.000000,11550.000000,10539.980469,6780800
2019-12-03,11400.000000,11750.000000,11400.000000,11725.000000,10699.677734,4560300
2019-12-04,11650.000000,11800.000000,11625.000000,11725.000000,10699.677734,6604700
2019-12-05,11750.000000,12475.000000,11750.000000,12425.000000,11338.461914,4855600
2019-12-06,12450.000000,12525.000000,12150.000000,12425.000000,11338.461914,4911500
2019-12-09,12425.000000,12475.000000,12200.000000,12450.000000,11361.277344,3081000
2019-12-10,13050.000000,13050.000000,12200.000000,12325.000000,11247.208984,3606800
2019-12-11,12225.000000,12350.000000,11925.000000,11925.000000,10882.186523,4485800
2019-12-12,11825.000000,12050.000000,11825.000000,12000.000000,10950.627930,3636900
2019-12-13,12100.000000,12425.000000,12050.000000,12300.000000,11224.393555,6992600
2019-12-16,12425.000000,12425.000000,12150.000000,12250.000000,11178.765625,3135300
2019-12-17,12375.000000,12375.000000,12200.000000,12275.000000,11201.580078,4307000
2019-12-18,12300.000000,12550.000000,12175.000000,12500.000000,11406.904297,5719800
2019-12-19,12600.000000,12625.000000,12325.000000,12575.000000,11475.345703,5733200
2019-12-20,12575.000000,12625.000000,12325.000000,12375.000000,11292.834961,4707100
2019-12-23,12425.000000,12450.000000,12225.000000,12250.000000,11178.765625,11392900
2019-12-26,12250.000000,12350.000000,12100.000000,12325.000000,11247.208984,2034900
2019-12-27,12350.000000,12400.000000,12175.000000,12225.000000,11155.953125,2515300
2019-12-30,12300.000000,12350.000000,11850.000000,12000.000000,10950.627930,4058100
2020-01-02,12150.000000,12225.000000,12000.000000,12200.000000,11133.138672,4494500
2020-01-03,12300.000000,12400.000000,12250.000000,12325.000000,11247.208984,3119300
2020-01-06,12200.000000,12325.000000,12075.000000,12275.000000,11201.580078,1859400
